"","beaconID","dt","time","date","lat","lon","speed"
"61","132433",2014-10-01 02:00:00,"02:00:00",2014-10-01,50.902,-109.2526,0
"62","132433",2014-10-01 12:31:00,"12:31:00",2014-10-01,50.9017,-109.2521,0
"63","132433",2014-10-01 14:30:00,"14:30:00",2014-10-01,50.9126,-109.257,2
"64","132433",2014-10-01 16:30:00,"16:30:00",2014-10-01,50.9017,-109.2518,0
"65","132433",2014-10-01 18:30:00,"18:30:00",2014-10-01,50.9018,-109.2521,2
"66","132433",2014-10-01 20:30:00,"20:30:00",2014-10-01,50.9023,-109.2526,0
"67","132433",2014-10-01 22:30:00,"22:30:00",2014-10-01,50.9023,-109.2526,0
"68","132433",2014-10-02 02:00:00,"02:00:00",2014-10-02,50.9016,-109.2526,0
"69","132433",2014-10-02 12:30:00,"12:30:00",2014-10-02,50.8757,-109.1935,0
"70","132433",2014-10-02 14:30:00,"14:30:00",2014-10-02,50.9044,-109.2511,1
"71","132433",2014-10-02 16:30:00,"16:30:00",2014-10-02,50.9026,-109.2534,0
"72","132433",2014-10-02 18:30:00,"18:30:00",2014-10-02,50.903,-109.254,1
"73","132433",2014-10-02 20:30:00,"20:30:00",2014-10-02,50.9027,-109.254,0
"74","132433",2014-10-02 22:30:00,"22:30:00",2014-10-02,50.9021,-109.2562,0
"75","132433",2014-10-03 02:00:00,"02:00:00",2014-10-03,50.9014,-109.2518,0
"76","132433",2014-10-03 14:30:00,"14:30:00",2014-10-03,50.9111,-109.2498,1
"77","132433",2014-10-03 16:30:00,"16:30:00",2014-10-03,50.9016,-109.2523,0
"78","132433",2014-10-03 18:31:00,"18:31:00",2014-10-03,50.9016,-109.2526,0
"79","132433",2014-10-03 20:30:00,"20:30:00",2014-10-03,50.9017,-109.2534,1
"80","132433",2014-10-03 22:30:00,"22:30:00",2014-10-03,50.9021,-109.2545,0
"81","132433",2014-10-04 02:01:00,"02:01:00",2014-10-04,50.9015,-109.2526,0
"82","132433",2014-10-04 12:31:00,"12:31:00",2014-10-04,50.9013,-109.2519,0
"83","132433",2014-10-04 14:30:00,"14:30:00",2014-10-04,50.9048,-109.2412,0
"84","132433",2014-10-04 16:30:00,"16:30:00",2014-10-04,50.9056,-109.2542,3
"85","132433",2014-10-04 18:31:00,"18:31:00",2014-10-04,50.9013,-109.2517,0
"86","132433",2014-10-04 20:30:00,"20:30:00",2014-10-04,50.9014,-109.2528,2
"87","132433",2014-10-05 02:01:00,"02:01:00",2014-10-05,50.9016,-109.2521,0
"88","132433",2014-10-05 12:31:00,"12:31:00",2014-10-05,50.9019,-109.2522,1
"89","132433",2014-10-05 14:30:00,"14:30:00",2014-10-05,50.9121,-109.2583,1
"90","132433",2014-10-05 16:30:00,"16:30:00",2014-10-05,50.9024,-109.2541,0
"91","132433",2014-10-05 18:30:00,"18:30:00",2014-10-05,50.9022,-109.2538,0
"92","132433",2014-10-05 20:30:00,"20:30:00",2014-10-05,50.9021,-109.2542,0
"93","132433",2014-10-05 22:30:00,"22:30:00",2014-10-05,50.902,-109.2546,0
"94","132433",2014-10-06 02:00:00,"02:00:00",2014-10-06,50.8604,-109.1659,0
"95","132433",2014-10-06 12:31:00,"12:31:00",2014-10-06,50.8585,-109.1685,0
"96","132433",2014-10-06 14:30:00,"14:30:00",2014-10-06,50.861,-109.1846,0
"97","132433",2014-10-06 16:30:00,"16:30:00",2014-10-06,50.861,-109.1824,0
"98","132433",2014-10-06 18:30:00,"18:30:00",2014-10-06,50.8618,-109.1688,3
"99","132433",2014-10-06 20:30:00,"20:30:00",2014-10-06,50.8611,-109.1702,1
"100","132433",2014-10-06 22:30:00,"22:30:00",2014-10-06,50.8611,-109.1704,0
"101","132433",2014-10-07 02:00:00,"02:00:00",2014-10-07,50.8593,-109.1701,2
"102","132433",2014-10-07 12:30:00,"12:30:00",2014-10-07,50.8578,-109.1737,0
"103","132433",2014-10-07 14:30:00,"14:30:00",2014-10-07,50.8571,-109.1872,1
"104","132433",2014-10-07 16:30:00,"16:30:00",2014-10-07,50.8575,-109.186,0
"105","132433",2014-10-07 18:30:00,"18:30:00",2014-10-07,50.858,-109.1674,1
"106","132433",2014-10-07 20:33:00,"20:33:00",2014-10-07,50.8581,-109.1671,0
"107","132433",2014-10-07 22:30:00,"22:30:00",2014-10-07,50.86,-109.1699,3
"108","132433",2014-10-08 02:00:00,"02:00:00",2014-10-08,50.8658,-109.1689,0
"109","132433",2014-10-08 12:30:00,"12:30:00",2014-10-08,50.866,-109.1687,0
"110","132433",2014-10-08 14:30:00,"14:30:00",2014-10-08,50.8887,-109.1546,2
"111","132433",2014-10-08 16:30:00,"16:30:00",2014-10-08,50.8657,-109.1682,0
"112","132433",2014-10-08 18:30:00,"18:30:00",2014-10-08,50.8581,-109.1676,0
"113","132433",2014-10-08 20:30:00,"20:30:00",2014-10-08,50.8652,-109.1685,1
"114","132433",2014-10-08 22:30:00,"22:30:00",2014-10-08,50.8661,-109.1683,1
"115","132433",2014-10-09 02:00:00,"02:00:00",2014-10-09,50.8659,-109.1688,0
"116","132433",2014-10-09 12:30:00,"12:30:00",2014-10-09,50.8662,-109.1686,0
"117","132433",2014-10-09 14:30:00,"14:30:00",2014-10-09,50.8879,-109.148,1
"118","132433",2014-10-09 16:30:00,"16:30:00",2014-10-09,50.8656,-109.1683,0
"119","132433",2014-10-09 18:30:00,"18:30:00",2014-10-09,50.8649,-109.1676,0
"120","132433",2014-10-09 20:31:00,"20:31:00",2014-10-09,50.8659,-109.1683,0
"121","132433",2014-10-09 22:30:00,"22:30:00",2014-10-09,50.8657,-109.1678,1
"122","132433",2014-10-10 02:00:00,"02:00:00",2014-10-10,50.8651,-109.1661,0
"123","132433",2014-10-10 12:30:00,"12:30:00",2014-10-10,50.866,-109.1691,0
"124","132433",2014-10-10 14:30:00,"14:30:00",2014-10-10,50.8871,-109.163,2
"125","132433",2014-10-10 16:31:00,"16:31:00",2014-10-10,50.8658,-109.1684,0
"126","132433",2014-10-10 18:30:00,"18:30:00",2014-10-10,50.8658,-109.1684,0
"127","132433",2014-10-10 20:30:00,"20:30:00",2014-10-10,50.8659,-109.1685,0
"128","132433",2014-10-10 22:30:00,"22:30:00",2014-10-10,50.8659,-109.1685,0
"129","132433",2014-10-11 02:00:00,"02:00:00",2014-10-11,50.8654,-109.1684,0
"130","132433",2014-10-11 12:30:00,"12:30:00",2014-10-11,50.8648,-109.1698,1
"131","132433",2014-10-11 14:30:00,"14:30:00",2014-10-11,50.8855,-109.1668,0
"132","132433",2014-10-11 16:30:00,"16:30:00",2014-10-11,50.8662,-109.164,0
